사용장소,주소,사용금액,lat,lng,거리
남도전문음식점,서울 관악구 관악로28길 7 남도전문음식점,1188000,37.4853412,126.9565108,918.1632869074114
남도해물요리전문점,서울 관악구 쑥고개로 80-1 남도해물요리전문점,115500,37.479192,126.9454049,553.5941411303152
남원추어탕,서울 관악구 쑥고개로 135 남원추어탕,3146000,37.4789062,126.9515579,90.3621727856314
낭만모로코,서울 관악구 관악로14길 88 낭만모로코,52000,37.4780438,126.9572112,501.8860180904323
내자리에프씨카페,서울 관악구 관악로5길 30 내자리에프씨카페,8500,37.4742312,126.9522319,434.0432183575884
너구리칼국수,서울 관악구 관악로15길 23-3 너구리칼국수,31000,37.4801282,126.9510857,229.47580605103042
노가리7080,서울 관악구 은천로 50 노가리7080,43800,37.4860413,126.9408353,1292.463260199379
농장사람들,서울 관악구 남부순환로210길 6 농장사람들,250680,37.4816819,126.9446383,726.8723743906261
다락방,서울 관악구 청룡길 47 다락방,68000,37.4795886,126.946029,512.5795917354844
다리목,서울 관악구 신림로58가길 7 다리목,2760000,37.4820993,126.9310248,1862.881421526232
다빈,서울 관악구 남부순환로233길 10 다빈,60000,37.4798276,126.9580444,606.8051239035534
다온죽카페,서울 관악구 관악로 246 다온죽카페,34000,37.4860474,126.9570048,1007.9733696797381
다우데이타,서울 구로구 구로동 다우데이타,58000,37.4951854,126.8820641,6416.544326991434
다이소,서울 관악구 남부순환로 1840 다이소,70200,37.48032329999999,126.9542849,347.5654316890962
달구리,서울 관악구 관천로 54 달구리,248000,37.4843751,126.9265317,2313.254476344449
당곡기사식당,서울 관악구 봉천로 301 당곡기사식당,846000,37.48684050000001,126.9344049,1796.5659680075603
당진강완옥아귀찜,서울 관악구 양녕로 40 당진강완옥아귀찜,120000,37.4855241,126.9470239,916.6596616406441
당진아구동태찜탕,서울 관악구 신림로 300 당진아구동태찜탕,280000,37.4739538,126.9359208,1451.8330751021879
당진아구동태찜탕,서울 동작구 사당로 229-1 당진아구동태찜탕,85000,37.5053806,126.942865,3128.8347923509323
대가한방오리,서울 관악구 봉천로 331-1 대가한방오리,87000,37.4854571,126.9374786,1485.3661521940437
대박수산,서울 동작구 노들로 688 대박수산,34000,37.5150948,126.9443784,4162.320937029007
대주직판장,서울 관악구 문성로 92 대주직판장,99000,37.4772897,126.913863,3324.5354674333125
대호아구집,서울 관악구 남부순환로 1829-9 대호아구집,456000,37.4815009,126.9536515,422.79548225814096
더고기서울대맛집,서울 관악구 관악로16길 16 더고기서울대맛집,117800,37.4802069,126.9536079,298.350535406213
더블미트 봉천점,서울 관악구 봉천로 421 더블미트 봉천점,30000,37.4830023,126.9470055,675.9038341609739
더진국,서울 관악구 신림로11길 17 더진국,41500,37.4696734,126.9389773,1450.0505736280688
던킨도너츠,서울 관악구 남부순환로 1640 던킨도너츠,38200,37.4870718,126.9471414,1070.5708246799986
도일각,서울 서초구 사임당로 46 도일각,150000,37.4905163,127.0244398,6580.372602742103
돈가대박집,서울 관악구 호암로 590 돈가대박집,32500,37.4698514,126.9332822,1852.4273243023872
돌체,서울 관악구 쑥고개로 84 돌체,40000,37.4790919,126.9457036,525.4549476604327
동강염소탕,서울 관악구 남부순환로 1713 동강염소탕,403000,37.4830887,126.9406408,1109.3657788767339
동경산책,서울 관악구 관악로14길 30 동경산책,54000,37.4788509,126.9541697,248.17021837495108
동원각,서울 관악구 청룡길 40 동원각,20000,37.4799631,126.9458972,538.2621298483846
동태찜&코다리냉면,서울 관악구 난곡로 83 동태찜&코다리냉면,173000,37.4628068,126.9187331,3356.1804967969797
동해,서울 관악구 신림로 286 동해,296000,37.4800665,126.9309226,1831.0860678064257
동해물회,서울 구로구 경인로 661 동해물회,300000,37.5093003,126.8874335,6634.188648518387
동해세꼬시,서울 관악구 청룡1길 16 동해세꼬시,96000,37.4810159,126.9470503,511.27244218473265
동해수산,서울 관악구 남현1길 24 동해수산,330000,37.4757491,126.9787454,2416.2416832536805
동해안횟집,서울 관악구 신림로67길 11 동해안횟집,144000,37.4859882,126.9286155,2203.7703232667054
두꺼비맛집,서울 관악구 낙성대로 11 두꺼비맛집,550000,37.4773371,126.9594764,706.7751288244258
두꺼비황소곱창,서울 영등포구 당산로 51 두꺼비황소곱창,54000,37.5246496,126.8957843,7139.791889708596
두부이야기,서울 관악구 양녕로 21-1 두부이야기,97000,37.4840456,126.9464843,797.3218634227752
들향기칼국수쭈꾸미,서울 관악구 조원중앙로 13 들향기칼국수쭈꾸미,186000,37.4811153,126.9048619,4131.196717604257
등갈비연탄구이,서울 관악구 원신길 157 등갈비연탄구이,434000,37.4899341,126.9183806,3207.1268770419633
등촌샤브칼국수,서울 관악구 은천로 51 등촌샤브칼국수,160000,37.4862512,126.9412192,1284.330277583848
등촌샤브칼국수,서울 송파구 동남로 286 등촌샤브칼국수,41000,37.5011111,127.1375,16606.930019642627
딸랏롯빠이,서울 관악구 관악로14길 39 딸랏롯빠이,81000,37.48121,126.952712,361.99512603917856
떡보의하루,서울 금천구 가산로 33 떡보의하루,3249600,37.471137,126.8991644,4684.885783209558
또와봐순대,서울 관악구 원신길 13 또와봐순대,180000,37.5117833,126.9192576,4704.943479621471
뚱띵이곱창,서울 관악구 인헌6길 29 뚱띵이곱창,440000,37.4737969,126.9651183,1291.2905415527227
뚱띵이왕갈비,서울 관악구 신림로 216 뚱띵이왕갈비,45600,37.4767251,126.9375808,1239.7787911194428
라온,서울 관악구 관악로14길 28 라온,311500,37.4789362,126.9539852,236.51238746205513
라티놀,서울 관악구 관악로 154-5 라티놀,196500,37.4789263,126.9528142,146.7206964451078
라페리체,서울 관악구 관악로14길 34 라페리체,139000,37.4788431,126.9543277,261.0510140621357
란,서울 관악구 쑥고개로 123 란,94000,37.4790123,126.95032,147.35765188254155
런던부페,서울 관악구 신림동 1484-1 런던부페,420000,37.4820865,126.9290908,2028.688122457846
려,서울 관악구 남부순환로 1811 려,176000,37.4817054,126.9514243,401.6662701929371
리몽,강원 강릉시 운정길 63 리몽,529000,37.7865935,128.8851277,173691.45763558667
마노아숯불구이,서울 관악구 봉천로 446-1 마노아숯불구이,83000,37.4822045,126.9494906,491.0244707918013
마늘오리,서울 관악구 신림로66길 10 마늘오리,48000,37.4852684,126.9302436,2040.1899641782604
마당쇠,서울 관악구 남부순환로 1444 마당쇠,164000,37.4808962,126.9112598,3566.598533281393
마야,서울 관악구 신림로 312 마야,51000,37.4821435,126.9301389,1940.011144215631
마을부엌어울림,서울 관악구 중앙2길 16 마을부엌어울림,108000,37.4844745,126.9539817,741.8845549008319
마켓동광,서울 서초구 명달로8길 10 마켓동광,184000,37.4815914,127.0057085,4797.073006497901
마포소금구이,서울 관악구 낙성대로 32 마포소금구이,246000,37.4756279,126.9587652,695.348772524725
마포숯불갈비,서울 관악구 난곡로72길 4 마포숯불갈비,43000,37.5207636,127.0327433,8593.519842740403
만다린,서울 관악구 은천로 32 만다린,38000,37.4794085,126.9535822,233.1314097856447
만두와김밥,서울 관악구 양녕로 27-1 만두와김밥,40500,37.4845147,126.9465467,838.2212498885772
만리성,서울 관악구 난곡로57길 47 만리성,14000,37.479161,126.9122779,3465.1951996476023
만리장성,서울 관악구 관악로 146 만리장성,1947000,37.4782292,126.9524798,85.67180115520529
만양순대국소머리국밥,서울 관악구 은천로 132 만양순대국소머리국밥,143000,37.4863575,126.9499602,929.1635982068522
맘스터치,서울 관악구 양녕로 43 맘스터치,145600,37.4859263,126.9468062,965.2914122430143
맘씨커피,서울 관악구 관악로 146 맘씨커피,18500,37.47822379999999,126.9525461,91.34048097274461
맛고을칼국수＆찰보리밥,서울 관악구 원신길 134 맛고을칼국수＆찰보리밥,193000,37.4899341,126.9183806,3207.1268770419633
맛있는밥집,서울 관악구 신림로48길 6 맛있는밥집,24000,37.4788898,126.9324329,1686.9667615869428
먹골,서울 관악구 청룡길 9 먹골,450000,37.4813817,126.9464392,578.7627102749212
먹쉬돈나,서울 관악구 남부순환로220길 49 먹쉬돈나,243000,37.4789856,126.9518829,104.07710419444912
먹쉬돈나 서울대역점,서울 관악구 남부순환로220길 49 먹쉬돈나 서울대역점,40000,37.4789856,126.9518829,104.07710419444912
메밀꽃밭언덕너머,서울 관악구 관악로 138 메밀꽃밭언덕너머,445500,37.4774917,126.9527019,123.64962477504143
멕시카나,서울 관악구 난곡로 184 멕시카나,84000,37.4715842,126.9199486,2878.912015824438
명가진곰탕,서울 관악구 미성길 15 명가진곰탕,68000,37.474296,126.9159718,3165.604556239311
명가쭈꾸미코다리,서울 관악구 문성로 233 명가쭈꾸미코다리,32000,37.4791462,126.9295914,1938.9150279724345
명성웃음꼬치활짝,서울 동작구 신대방2길 2-7 명성웃음꼬치활짝,49000,37.4877604,126.9129436,3569.8825536740605
