자치구,벚나무,LAT,LON
강남구,벚나무,37.4861225,127.0456144
강남구,벚나무,37.4835011,127.0474002
강남구,벚나무,37.4827509,127.0438498
강남구,벚나무,37.4844088,127.0468623
강남구,벚나무,37.5074171,127.067786
강남구,벚나무,37.4839794,127.0470445
강남구,벚나무,37.483674,127.0474013
강남구,벚나무,37.5196274,127.0539678
강남구,벚나무,37.4752161,127.1048191
강남구,벚나무,37.4845539,127.0467571
강남구,벚나무,37.4838339,127.0445607
강남구,벚나무,37.4847309,127.0466269
강남구,벚나무,37.4824832,127.0433136
강남구,벚나무,37.4895102,127.1052705
강남구,벚나무,37.4846568,127.0465502
강남구,벚나무,37.4832015,127.0442629
강남구,벚나무,37.5143656,127.0667309
강남구,벚나무,37.5195514,127.0535394
강남구,벚나무,37.5105726,127.0672881
강남구,벚나무,37.4844221,127.0452833
강남구,벚나무,37.4846792,127.0457702
강남구,벚나무,37.4914332,127.1026709
강남구,벚나무,37.4836187,127.0474434
강남구,벚나무,37.4831476,127.0439289
강남구,벚나무,37.507538,127.067777
강남구,벚나무,37.5194833,127.0531704
강남구,벚나무,37.4840933,127.0448242
강남구,벚나무,37.4914481,127.1026435
강남구,벚나무,37.4828528,127.0436649
강남구,벚나무,37.4846504,127.0457042
강남구,벚나무,37.4916083,127.1023092
강남구,벚나무,37.484315,127.0469292
강남구,벚나무,37.4834078,127.0441671
강남구,벚나무,37.4913594,127.1028032
강남구,벚나무,37.4858945,127.0457727
강남구,벚나무,37.5122587,127.0670405
강남구,벚나무,37.485333,127.0460557
강남구,벚나무,37.4839831,127.047182
강남구,벚나무,37.4914272,127.1026847
강남구,벚나무,37.4733773,127.1000978
강남구,벚나무,37.4841527,127.04489
강남구,벚나무,37.4730503,127.0968529
강남구,벚나무,37.4840318,127.0470098
강남구,벚나무,37.483454,127.044208
강남구,벚나무,37.4858363,127.0456847
강남구,벚나무,37.5209031,127.0589915
강남구,벚나무,37.5205841,127.058275
강남구,벚나무,37.4850587,127.0462583
강남구,벚나무,37.5107873,127.0672566
강남구,벚나무,37.5195095,127.0533088
강남구,벚나무,37.4744965,127.1032591
강남구,벚나무,37.5196012,127.053803
강남구,벚나무,37.5078966,127.0677347
강남구,벚나무,37.5217441,127.0622001
강남구,벚나무,37.4841797,127.0470308
강남구,벚나무,37.5049463,127.0672876
강남구,벚나무,37.4847122,127.0465056
강남구,벚나무,37.5213359,127.0602226
강남구,벚나무,37.5130213,127.0669081
강남구,벚나무,37.5130932,127.0668994
강남구,벚나무,37.4915019,127.1025461
강남구,벚나무,37.5197428,127.0546301
강남구,벚나무,37.5195252,127.053401
강남구,벚나무,37.4732606,127.0984888
강남구,벚나무,37.5088451,127.0675883
강남구,벚나무,37.50185,127.0687121
강남구,벚나무,37.4915565,127.1024272
강남구,벚나무,37.4916159,127.1024347
강남구,벚나무,37.512054,127.0670706
강남구,벚나무,37.5126784,127.066979
강남구,벚나무,37.5051816,127.0673461
강남구,벚나무,37.5195432,127.0548502
강남구,벚나무,37.4838205,127.0448388
강남구,벚나무,37.4833111,127.04408
강남구,벚나무,37.4846716,127.0466715
강남구,벚나무,37.5208627,127.0588819
강남구,벚나무,37.5206373,127.0584408
강남구,벚나무,37.4913644,127.1027907
강남구,벚나무,37.4730873,127.0970851
강남구,벚나무,37.5196824,127.0542446
강남구,벚나무,37.4828559,127.0439435
강남구,벚나무,37.4915353,127.1024761
강남구,벚나무,37.5206755,127.058537
강남구,벚나무,37.5079849,127.067721
강남구,벚나무,37.5194544,127.0529496
강남구,벚나무,37.4916362,127.1023901
강남구,벚나무,37.5135266,127.0668468
강남구,벚나무,37.4733572,127.0997373
강남구,벚나무,37.4894974,127.1052801
강남구,벚나무,37.4839122,127.0470965
강남구,벚나무,37.5050227,127.0673012
강남구,벚나무,37.4844632,127.0468214
강남구,벚나무,37.491481,127.1025848
강남구,벚나무,37.483873,127.0448919
