사용자,사용일시,사용금액,사용장소,주소,사용내역
부의장,2019-02-01,198000,숨은집,서울 관악구 남부순환로 1713-5,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-02,99000,명품횡성한우가,서울 관악구 봉천로 266,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-03,190000,해물나라,서울 관악구 남부순환로 1674,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-04,55000,구수옥설렁탕,서울 관악구 남부순환로 1696,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-06,182000,은성숯불갈비,서울 관악구 남부순환로 1711,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-06,46700,파리바게뜨,서울 관악구 은천로 1,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-07,65000,당곡기사식당,서울 관악구 봉천로 301,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-08,200000,미가할매집,서울 관악구 신림로 374,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-08,130000,성암축산정육식당,서울 관악구 관천로 45,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-09,15000,생각보다맛있는집,서울 관악구 관악로 152,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-09,47000,목포부부아구찜,서울 관악구 남부순환로206길 5,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-10,122000,아리차이,서울 관악구 신림동길 4,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-11,112000,무한고기마을,서울 관악구 봉천로 304,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-13,76000,할매보쌈,서울 관악구 신림로 351,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-15,52500,흑룡강성,서울 관악구 쑥고개로 68-1,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-17,131000,어시장,서울 관악구 봉천로25길 13,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-18,88000,희전명가,서울 관악구 남부순환로180길 6,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-19,200000,아리차이,서울 관악구 신림동길 4,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-20,64000,구수옥설렁탕,서울 관악구 남부순환로 1696,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-21,66000,신안바다장어,서울 관악구 봉천로 385,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-22,93000,숨은집,서울 관악구 남부순환로 1713-5,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-23,116000,아리차이,서울 관악구 신림동길 4,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-25,89000,제주은갈치,서울 관악구 관악로 139,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-27,100000,풍성구이,서울 관악구 보라매로 23,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-28,18000,본죽,서울 관악구 남부순환로 1741,의회운영 및 의정활동 관련 유대경비
의회운영위원장,2019-02-01,33000,서울김밥,서울 관악구 신림로 328,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-08,38000,풍년집,서울 관악구 난곡로 232,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-08,35000,오성손만두,서울 관악구 난곡로 233,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-18,117000,남도식당,서울 관악구 청룡2길 3,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-21,130000,장수생삼겹살,서울 관악구 신림로73길 5,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-22,124000,고기킹,서울 관악구 봉천로 421,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-28,77000,북경반점,서울 관악구 남부순환로 1620,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-02,318000,통큰대박집,서울 관악구 원신길 11,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-08,136000,낙지마을해물구이,서울 관악구 봉천로 469-1,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-11,17400,SEROTONIN,서울 관악구 신림로22길 13,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-12,39000,제주은갈치,서울 관악구 관악로 139,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-13,51000,광어삼촌,서울 동작구 상도로37길 55,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-14,56000,서울대학교,서울 관악구 관악로 1,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-14,45600,뚱띵이왕갈비,서울 관악구 신림로 216,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-17,29000,송백목감자탕,서울 동작구 노량진로 26,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-19,18000,콩심,서울특별시 관악구 관악로 144,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-21,200000,우리축산정육점식당,서울 관악구 신림로65길 26,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-25,80000,여의도수제비,서울 관악구 미성3길 11,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-01,62000,정육점식당,서울 관악구 관악로14길 27,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-08,160000,제주은갈치,서울 관악구 관악로 139,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-08,145000,옥천골,서울 관악구 청룡7길 41,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-12,280000,감나무집,서울 관악구 관악로11길 20,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-13,320000,감나무집,서울 관악구 관악로11길 20,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-18,195000,옥천골,서울 관악구 청룡7길 41,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-20,51500,남도해물요리전문점,서울 관악구 쑥고개로 80-1,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-21,220000,제주은갈치,서울 관악구 관악로 139,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-21,120000,당진강완옥아귀찜,서울 관악구 양녕로 40,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-25,32500,완산정,서울 관악구 봉천로 484,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-25,46500,고기만족,서울 송파구 가락로 259,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-26,36000,옛날육개장,서울 관악구 관악로 154-6,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-02-28,33000,정육점식당,서울 관악구 관악로14길 27,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-02-08,300000,우성각,서울 관악구 청림2길 2,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-02-12,31200,파리바게뜨,서울 관악구 난곡로 316,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-02-14,24000,나의집,서울 관악구 남부순환로145길 14,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-02-15,400000,감나무집,서울 관악구 관악로11길 20,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-02-17,266000,황제갈비,서울특별시 관악구 남부순환로 1644,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-02-20,60000,최상의우동,서울 관악구 신림로 210-1,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-02-21,160000,국내산생고기,서울 관악구 신림로 278,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-02-22,142000,삼다돈가(봉천점),서울 관악구 관악로 246,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-02-23,45200,파리바게뜨,서울 관악구 관악로 168,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-02-23,402000,시골집,서울 관악구 낙성대로 22-8,의정활동 및 상임위 관련 업무 간담회
의장,2019-03-05,144000,구름산원주추어탕,서울 관악구 관천로 47-1,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-05,270000,우리동네고기집,서울 관악구 인헌6길 24,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-06,39000,생각보다맛있는집,서울 관악구 관악로 152,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-06,15000,베리베리,서울 관악구 관악로 148,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-07,72000,제주은갈치,서울 관악구 관악로 139,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-08,140000,감나무집,서울 관악구 관악로11길 20,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-11,349000,어울더울생고기,경기 과천시 제비울길 43,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-12,65000,감나무집,서울 관악구 관악로11길 20,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-13,82000,정가,서울 관악구 남부순환로 1710,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-13,47500,쟝블랑제리,서울 관악구 낙성대역길 8,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-14,109000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-15,200000,떡보의하루,서울 금천구 가산로 33,의회사무국 직원생일 축하물품 지급
의장,2019-03-15,48000,마을부엌어울림,서울 관악구 중앙2길 16,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-18,214000,제주은갈치,서울 관악구 관악로 139,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-20,50000,울엄마밥상,서울 관악구 인헌4길 11,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-20,250000,감나무집,서울 관악구 관악로11길 20,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-21,49000,베리베리,서울 관악구 관악로 148,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-22,33000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-22,15000,파리바게뜨,서울 영등포구 영등포동7가 57,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-22,176500,감나무집,서울 관악구 관악로11길 20,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-25,33000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-26,132000,제주은갈치,서울 관악구 관악로 139,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-27,330000,옥천골,서울 관악구 청룡7길 41,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-29,206000,옥천골,서울 관악구 청룡7길 41,의정활동 및 의회운영 관련 업무유대경비
의장,2019-03-29,128000,정가,서울 관악구 남부순환로 1710,의정활동 및 의회운영 관련 업무유대경비
부의장,2019-03-01,48000,은성숯불갈비,서울 관악구 남부순환로 1711,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-02,39800,자연별곡,서울 관악구 관악로 195,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-04,134000,자연생고기,서울 관악구 난곡로66길 23,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-05,68000,당곡기사식당,서울 관악구 봉천로 301,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-05,70000,숨은집,서울 관악구 남부순환로 1713-5,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-06,91000,고려왕족발,서울 관악구 청룡길 9,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-08,330000,동해수산,서울 관악구 남현1길 24,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-10,200000,신림제주흑돼지,서울 관악구 남부순환로 1649,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-15,19000,만리장성,서울특별시 관악구 관악로 146,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-15,73000,황복,서울 관악구 봉천로 356,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-17,32000,시골집,서울 관악구 봉천로 308-2,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-17,80000,삼미옥,서울 관악구 남부순환로 1829-6,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-18,39000,싱싱회수산시장,서울 관악구 은천로 72-1,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-20,149000,은성숯불갈비,서울 관악구 남부순환로 1711,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-21,150000,숨은집,서울 관악구 남부순환로 1713-5,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-22,20700,파리바게뜨,서울 관악구 봉천로23나길 69,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-22,48000,양평해장국,서울 관악구 봉천로 229,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-25,34000,바로수제햄부대찌개,서울 관악구 봉천로 378,의회운영 및 의정활동 관련 유대경비
부의장,2019-03-27,300000,아리차이,서울 관악구 신림동길 4,의회운영 및 의정활동 관련 유대경비
의회운영위원장,2019-03-02,64000,미추원주추어탕,서울 관악구 관악로 108,의정활동 및 상임위 관련 업무 간담회
