,2022-01-01 ~ 2022-01-31,,,,,,,,,
,키워드,지출,노출,클릭 ,CTR,CPC,CPA,구매,매출,ROAS
,명절선물도매," ₩ 1,320 ",  2 ,  1 ,50.00%," ₩ 1,320 ", ₩ - ,  - ,  - ,0.00%
,고급설선물세트," ₩ 1,309 ",  6 ,  2 ,33.33%, ₩ 655 , ₩ - ,  - ,  - ,0.00%
,큐브스테이크," ₩ 1,309 ",  215 ,  1 ,0.47%," ₩ 1,309 ", ₩ - ,  - ,  - ,0.00%
,한우꽃등심선물세트," ₩ 1,276 ",  23 ,  1 ,4.35%," ₩ 1,276 ", ₩ - ,  - ,  - ,0.00%
,소양지," ₩ 1,232 ",  148 ,  2 ,1.35%, ₩ 616 , ₩ - ,  - ,  - ,0.00%
,사돈명절선물," ₩ 1,221 ",  44 ,  1 ,2.27%," ₩ 1,221 ", ₩ - ,  - ,  - ,0.00%
,설날부모님선물," ₩ 1,210 ",  17 ,  1 ,5.88%," ₩ 1,210 ", ₩ - ,  - ,  - ,0.00%
,장조림고기," ₩ 1,210 ",  28 ,  2 ,7.14%, ₩ 605 , ₩ - ,  - ,  - ,0.00%
,양지고기," ₩ 1,199 ",  114 ,  2 ,1.75%, ₩ 600 , ₩ - ,  - ,  - ,0.00%
,설한우선물세트," ₩ 1,188 ",  5 ,  1 ,20.00%," ₩ 1,188 ", ₩ - ,  - ,  - ,0.00%
,설날명절선물," ₩ 1,144 ",  9 ,  1 ,11.11%," ₩ 1,144 ", ₩ - ,  - ,  - ,0.00%
,파티요리," ₩ 1,111 ",  44 ,  1 ,2.27%," ₩ 1,111 ", ₩ - ,  - ,  - ,0.00%
,예비시댁명절선물," ₩ 1,100 ",  7 ,  1 ,14.29%," ₩ 1,100 ", ₩ - ,  - ,  - ,0.00%
,백화점설선물," ₩ 1,100 ",  39 ,  3 ,7.69%, ₩ 367 , ₩ - ,  - ,  - ,0.00%
,알등심," ₩ 1,089 ",  133 ,  2 ,1.50%, ₩ 545 , ₩ - ,  - ,  - ,0.00%
,한우늑간살," ₩ 1,012 ",  5 ,  1 ,20.00%," ₩ 1,012 ", ₩ - ,  - ,  - ,0.00%
,센스있는명절선물," ₩ 1,012 ",  30 ,  1 ,3.33%," ₩ 1,012 ", ₩ - ,  - ,  - ,0.00%
,이베리코등심," ₩ 1,001 ",  1 ,  1 ,100.00%," ₩ 1,001 ", ₩ - ,  - ,  - ,0.00%
,고급설선물, ₩ 990 ,  10 ,  1 ,10.00%, ₩ 990 , ₩ - ,  - ,  - ,0.00%
,스테이크용등심, ₩ 957 ,  6 ,  1 ,16.67%, ₩ 957 , ₩ - ,  - ,  - ,0.00%
,숙성안심, ₩ 946 ,  4 ,  1 ,25.00%, ₩ 946 , ₩ - ,  - ,  - ,0.00%
,한우립아이, ₩ 935 ,  1 ,  1 ,100.00%, ₩ 935 , ₩ - ,  - ,  - ,0.00%
,한우암소등심, ₩ 935 ,  3 ,  1 ,33.33%, ₩ 935 , ₩ - ,  - ,  - ,0.00%
,설한우선물, ₩ 935 ,  2 ,  1 ,50.00%, ₩ 935 , ₩ - ,  - ,  - ,0.00%
,무항생제소고기, ₩ 913 ,  4 ,  1 ,25.00%, ₩ 913 , ₩ - ,  - ,  - ,0.00%
,1++살치살, ₩ 902 ,  4 ,  1 ,25.00%, ₩ 902 , ₩ - ,  - ,  - ,0.00%
,소고기파는곳, ₩ 902 ,  4 ,  1 ,25.00%, ₩ 902 , ₩ - ,  - ,  - ,0.00%
,소고기등심스테이크, ₩ 880 ,  13 ,  1 ,7.69%, ₩ 880 , ₩ - ,  - ,  - ,0.00%
,집들이상차림, ₩ 869 ,  22 ,  1 ,4.55%, ₩ 869 , ₩ - ,  - ,  - ,0.00%
