"캠페인보고서(2021.10.01.~2021.12.31.),colosseumkr:naver",,,,,,,,,,,,,
캠페인유형,캠페인,광고그룹,소재,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,전환수,전환율(%),전환당비용(원)
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,기업3PL,1,0,0,0,0,1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,기업물류,549,0,0,0,0,8.2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,꽃포장박스,177,0,0,0,0,3.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,남대문사입,8,0,0,0,0,15.9,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,납품대행,15,1,6.67,110,110,12.9,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,냉동물류,2,0,0,0,0,10.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,냉동물류창고,1,0,0,0,0,7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,냉동배송,1,0,0,0,0,4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,냉동창고임대,12,0,0,0,0,6.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,냉장물류,4,0,0,0,0,2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,냉장배송,3,0,0,0,0,3.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,단기창고,2,0,0,0,0,4.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,단기창고임대,5,0,0,0,0,2.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,당일배송,"5,216",1,0.02,627,627,5.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,대리배송,305,0,0,0,0,2.8,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,대여창고,94,0,0,0,0,4.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,대용량스토리지,49,0,0,0,0,6.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,대행배송,40,0,0,0,0,2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,대형물류창고,445,0,0,0,0,11.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,대형물류창고임대,10,0,0,0,0,7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,대형물류회사,39,0,0,0,0,6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,대형창고,290,0,0,0,0,3.2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,대형창고임대,75,0,0,0,0,5.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,덕평센터,1,0,0,0,0,5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,도매배송대행,21,1,4.77,"1,408","1,408",3.6,0,0,0
