검색 키워드111,,,,,,,,,,,,,,,
2021년 10월 1일 (금) - 2021년 12월 31일 (금),,,,,,,,,,,,,,,
캠페인,광고그룹,검색 키워드,Google 검색 키워드 검색 유형,통화 코드,클릭수,노출수,클릭률(CTR),평균 CPC,비용,노출수(절대 상단) %,노출수(상단) %,전환,조회 후 전환,전환당비용,전환율
2_주력 상품,①_풀필먼트,선물포장방법,확장검색,KRW,10,"4,448",0.22%,258,2575,0.00%,0.00%,0,0, --,0.00%
3_비주력 상품,②_택배,택배포장,확장검색,KRW,10,"1,044",0.96%,363,3633,11.11%,83.33%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,이커머스,확장검색,KRW,10,849,1.18%,246,2462,2.79%,43.34%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류솔루션,확장검색,KRW,10,407,2.46%,273,2731,0.33%,9.80%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,자동물류창고,확장검색,KRW,10,574,1.74%,242,2418,0.00%,5.59%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,스티로폼 박스 가격,확장검색,KRW,10,183,5.46%,276,2762,10.38%,59.43%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,3PL물류업체,확장검색,KRW,10,226,4.42%,265,2653,0.98%,13.66%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,E커머스,확장검색,KRW,10,879,1.14%,247,2466,2.44%,31.22%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류서비스,확장검색,KRW,10,378,2.65%,264,2640,3.41%,25.00%,0,0, --,0.00%
3_비주력 상품,②_택배,택배물류센터,확장검색,KRW,9,"1,047",0.86%,236,2128,0.00%,31.82%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,위탁배송,확장검색,KRW,9,583,1.54%,258,2320,3.16%,15.79%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,3PL창고,확장검색,KRW,9,308,2.92%,227,2047,1.57%,13.33%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류업체,확장검색,KRW,9,593,1.52%,225,2021,0.94%,16.04%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,배송업체,확장검색,KRW,9,823,1.09%,249,2245,11.00%,43.00%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,컨테이너박스임대,확장검색,KRW,9,867,1.04%,239,2154,30.95%,100.00%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,큐텐직구,확장검색,KRW,9,"2,706",0.33%,266,2397,9.52%,69.05%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,배송시스템,확장검색,KRW,9,875,1.03%,267,2405,3.31%,12.58%,0,0, --,0.00%
3_비주력 상품,③_기타,위킵,확장검색,KRW,9,302,2.98%,286,2577,6.71%,56.71%,0,0, --,0.00%
3_비주력 상품,②_택배,택배가격,확장검색,KRW,8,"1,209",0.66%,276,2204,15.38%,61.54%,0,0, --,0.00%
3_비주력 상품,②_택배,택배보내기,확장검색,KRW,8,397,2.02%,288,2300,11.11%,44.44%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,3자물류,확장검색,KRW,8,315,2.54%,218,1740,0.00%,17.28%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,타오바오 구매,확장검색,KRW,8,512,1.56%,294,2352,13.70%,91.78%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,새벽배송물류,확장검색,KRW,8,747,1.07%,207,1657,6.25%,36.46%,1,0,1657,12.50%
3_비주력 상품,②_택배,택배요금,확장검색,KRW,8,"1,283",0.62%,283,2263,10.00%,75.00%,0,0, --,0.00%
3_비주력 상품,③_기타,위탁,확장검색,KRW,8,"2,016",0.40%,277,2213,0.00%,3.23%,0,0, --,0.00%
3_비주력 상품,③_기타,물류직무,확장검색,KRW,8,780,1.03%,250,2001,1.77%,10.62%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,재고관리,확장검색,KRW,8,416,1.92%,262,2099,0.00%,7.14%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,wms 시스템,확장검색,KRW,8,366,2.19%,259,2071,0.00%,21.29%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류기업,확장검색,KRW,8,"1,412",0.57%,245,1959,0.58%,13.87%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,스마트물류,확장검색,KRW,8,488,1.64%,256,2045,1.40%,11.68%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,국제배송,확장검색,KRW,8,533,1.50%,264,2108,5.83%,70.83%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,쇼피파이,확장검색,KRW,8,990,0.81%,254,2035,0.29%,20.00%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,중고냉동창고가격,확장검색,KRW,8,295,2.71%,275,2198,4.76%,33.33%,0,0, --,0.00%
3_비주력 상품,①_창고,경기창고,확장검색,KRW,8,397,2.02%,393,3146,2.72%,34.01%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,DM,확장검색,KRW,7,"1,124",0.62%,218,1529,20.00%,20.00%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,알리바바구매대행,확장검색,KRW,7,"1,256",0.56%,263,1840,4.88%,63.41%,0,0, --,0.00%
3_비주력 상품,③_기타,에어캡,확장검색,KRW,7,671,1.04%,171,1200,0.00%,36.36%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,중국해외직구,확장검색,KRW,7,264,2.65%,256,1789,12.00%,32.00%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,포장업체,확장검색,KRW,7,321,2.18%,252,1762,0.53%,7.37%,0,0, --,0.00%
3_비주력 상품,③_기타,패킹,확장검색,KRW,7,827,0.85%,266,1861,0.00%,0.00%,0,0, --,0.00%
