검색어,캠페인,클릭수,비용,CPC,사용자,세션,이탈률,세션당 페이지수,문의하기 완료(유효성체크완료) (목표 5 전환율),문의하기 완료(유효성체크완료) (목표 5 완료 수)
3pl 물류 비용,2_주력 상품,1,199.00,199.00,0,0,0.00%,0.00,0.00%,0
3pl 물류 비용,③_3PL/4PL,0,0.00,0.00,1,1,0.00%,12.00,0.00%,0
3pl 물류 주문 조회,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 물류 태블릿,③_3PL/4PL,0,0.00,0.00,1,1,0.00%,6.00,0.00%,0
3pl 물류 회사 소개서,③_기타,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
3pl 비교,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 비교 견적,①_창고,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
3pl 사례,2_주력 상품,1,278.00,278.00,0,0,0.00%,0.00,0.00%,0
3pl 사례,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 사무실,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 사업,③_3PL/4PL,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
3pl 송장 출력 제휴 택배,③_3PL/4PL,0,0.00,0.00,1,1,0.00%,4.00,0.00%,0
3pl 스타트 업,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 업체,2_주력 상품,1,252.00,252.00,0,0,0.00%,0.00,0.00%,0
3pl 업체 구하기,①_창고,0,0.00,0.00,1,1,0.00%,3.00,0.00%,0
3pl 업체 리스트,2_주력 상품,4,1030.00,257.50,1,1,100.00%,1.00,0.00%,0
3pl 업체 리스트,③_3PL/4PL,0,0.00,0.00,3,3,100.00%,1.00,0.00%,0
3pl 업체 반품,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 업체 비교,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 업체 순위,2_주력 상품,2,312.00,156.00,0,0,0.00%,0.00,0.00%,0
3pl 업체 순위,③_3PL/4PL,0,0.00,0.00,2,2,50.00%,2.00,0.00%,0
3pl 업체 현황,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 용인 최저가,③_3PL/4PL,0,0.00,0.00,1,1,0.00%,4.00,0.00%,0
3pl 운송 고민,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 운영 안,③_3PL/4PL,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
3pl 유지비,③_3PL/4PL,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
3pl 유형,③_3PL/4PL,0,0.00,0.00,1,2,0.00%,18.00,0.00%,0
3pl 의 약자 의미,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 이란,①_창고,0,0.00,0.00,6,6,100.00%,1.00,0.00%,0
3pl 이란,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 이란,2_주력 상품,6,1516.00,252.67,0,0,0.00%,0.00,0.00%,0
3pl 이란,③_3PL/4PL,0,0.00,0.00,4,4,100.00%,1.00,0.00%,0
3pl 이란,3_비주력 상품,7,1912.00,273.14,0,0,0.00%,0.00,0.00%,0
3pl 이용 요금,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 정의,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 정의,3_비주력 상품,1,289.00,289.00,0,0,0.00%,0.00,0.00%,0
3pl 창업,③_기타,0,0.00,0.00,2,2,50.00%,2.00,0.00%,0
3pl 창업,3_비주력 상품,2,755.00,377.50,0,0,0.00%,0.00,0.00%,0
3pl 파레트 단가,③_3PL/4PL,0,0.00,0.00,1,3,66.67%,1.33,0.00%,0
3pl 풀필 먼트,3_비주력 상품,1,298.00,298.00,0,0,0.00%,0.00,0.00%,0
3pl 풀필 먼트 차이,2_주력 상품,1,283.00,283.00,0,0,0.00%,0.00,0.00%,0
3pl 풀필 먼트 차이,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 프로세스,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 항목,①_창고,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl 회사 순위,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl cost,2_주력 상품,1,263.00,263.00,0,0,0.00%,0.00,0.00%,0
3pl cost,③_3PL/4PL,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
3pl franchise,2_주력 상품,1,200.00,200.00,0,0,0.00%,0.00,0.00%,0
