사용장소,방문횟수,사용금액
다이소,8,97700
달구리,1,248000
당곡기사식당,11,846000
당진강완옥아귀찜,1,120000
당진아구동태찜탕,2,365000
대가한방오리,1,87000
대박수산,1,34000
대주직판장,1,99000
대호아구집,7,456000
더고기서울대맛집,1,117800
더블미트 봉천점,1,30000
더진국,1,41500
던킨도너츠,2,38200
도일각,1,150000
돈가대박집,1,32500
돌체,1,40000
동강염소탕,3,342000
동강영양탕,1,61000
동경산책,1,54000
동원각,1,20000
동태찜&코다리냉면,1,173000
동해,1,296000
동해물회,1,300000
동해세꼬시,1,96000
동해수산,1,330000
동해안횟집,2,144000
두꺼비맛집,3,550000
두꺼비황소곱창,1,54000
두부이야기,2,68000
두부이야기봉천점,1,29000
들향기칼국수쭈꾸미,1,186000
등갈비연탄구이,4,434000
등촌샤브칼국수,2,201000
딸랏롯빠이,1,81000
떡보의하루,22,3453600
또와봐순대,1,180000
뚱띵이곱창,2,440000
뚱띵이왕갈비,1,45600
라온,5,311500
라티놀,3,196500
라페리체,2,139000
란,1,94000
런던부페,1,420000
려,1,176000
롯데리아（백령도점）,1,172600
리몽,1,529000
마노아숯불구이,1,83000
마늘오리,1,48000
마당쇠,1,164000
마야,1,51000
마을부엌어울림,2,108000
마켓동광,4,184000
마포소금구이,1,246000
마포숯불갈비,1,43000
만년닭강정,1,60000
만다린,1,38000
만두와김밥,3,40500
만리성,1,14000
만리장성,21,2247000
만양순대국소머리국밥,1,143000
맘스터치,6,145600
맘씨커피,1,18500
맛고을칼국수＆찰보리,1,48000
맛고을칼국수＆찰보리밥,1,145000
맛있는밥집,1,24000
먹골,2,450000
먹쉬돈나,5,243000
먹쉬돈나 서울대역점,1,40000
메밀꽃밭언덕너머,9,445500
멕시카나,2,84000
명가진곰탕,2,68000
명가쭈꾸미코다리,1,32000
명성웃음꼬치활짝,1,49000
명인아구찜,1,298000
명태어장,9,830000
명태어장(서울대점),1,59000
명품청기와감자탕,1,79000
명품청기와감자탕미성점,1,43000
명품횡성한우가,13,3230000
모리,6,160000
모리돈부리,1,40000
모비딕커피,3,76000
모이세,1,171000
모힝,1,52000
목포낙지홍어,2,342000
목포부부아구찜,7,747000
목포산낙지철판해물,2,219000
목포수산,3,218000
목포아구찜,1,98000
목포홍탁,1,80000
무교동갯벌낚지,1,80000
무교동본낙지,3,159000
무지개분식,1,27000
무한고기마을,3,369200
미가정맑은곰탕,1,83000
미가할매집,5,737000
미가할매참품한우,3,440000
미각 아구동태해물찜탕,1,119000
미소야,1,28000
미소옻닭,1,84000
미스터시래기,1,180500
미운오리깡통집,1,107000
미추원주추어탕,5,821000
밀향기칼국수,1,30000
밋앤미트,1,182000
바다양푼이동태탕,4,149000
바다잔치,1,68000
바달비,3,563000
바로수제햄부대찌개,3,93000
바르미스시뷔페,2,237400
바우네나주곰탕,2,87000
바우네나주곰탕　봉천,1,72000
바우네족발,3,380000
바지락손칼국수,1,20000
박가네능이백숙삼계탕,1,208000
박승자당진아구동태찜탕,1,100000
배가네동태탕찜,1,102000
배바우,1,100000
백상갈비,1,100000
백채,6,184000
버드나무,1,111500
베리베리,6,116000
베스트아울렛디시마트,1,94000
베어문,1,13000
별난왕족발보쌈,2,328000
별미집,2,56000
병천순대,3,108000
병천순대국,1,21000
보글보글지글지글,1,30000
보배곱창,1,283000
보현푸드,2,399200
복돈이생고기,1,57000
본가숯불갈비,1,60000
본가짜장,1,52000
본전순대국,2,65000
본죽,6,246500
본죽 관악구청점,1,58000
본죽&본도시락,1,120000
본죽&비빔밥,3,79000
본죽봉천점,1,18000
본죽＆비빔밥,1,20000
본죽＆비빔밥ｃａｆｅ,2,73500
봉떡,1,11500
봉이 구이대장,1,183000
봉이구이대장,1,149000
봉천곱창,1,48800
봉천동진순자김밥,8,395000
봉천함흥냉면,1,65000
부림식당,1,52000
부산복집,3,724000
북경반점,7,763000
북촌손만두,2,76000
분짜하노이,2,83450
불광옥,1,126000
브라더,1,100000
블리스,3,77300
비알코리아,1,15440
빅히트물류,1,39700
빕스,1,63400
삐에스몽테과자점,1,26200
사랑방,5,951000
사사꼬,9,467500
사시사철흑염소.오리,3,458000
사시사철흑염소오리,4,590000
사케사케,1,78000
산야로,31,1916000
산책,1,50000
삼곱식당서울대역점,1,306800
삼다돈가(봉천점),1,142000
삼미옥,7,836000
삼미칼국수,1,18000
삼백돈,2,124000
삼백돈돈가츠,1,144000
상도늘보리,1,36000
상도스시,4,322000
새마을식당,2,269000
생각보다맛있는집,21,1158000
서가앤쿡,1,66400
서도면옥,2,152000
서연,2,227000
서울김밥,2,84500
서울닭튀김,1,25800
서울대 파리바게뜨,1,40800
서울대곱창,4,312500
서울대입구역2호 파리바게뜨,1,45200
서울대학교생협호암교수회관,1,56000
서울대학교생활협동조,1,2932000
서울미트볼,1,34200
서울삼족탕,5,467000
서지초가뜰주식회사,1,45000
선우정,5,672900
설악한우직판장,1,1076200
성암축산정육식당,2,390000
세계로마트,1,21500
세인트존스호텔,1,257400
세컨드페이지,4,114800
소곱소곱,2,154000
소담밥상,1,47000
소담촌,1,105400
소문난생오리돌구이,1,53000
소문난순대국,1,52000
소문난참숯불꼼장어,2,135000
소풍가는날,2,165000
소해,2,113000
소확행,2,57400
손칼국수만두찐빵,1,10000
솜씨,1,110000
송가네감자탕,2,104000
송백목감자탕,1,29000
송원마포갈비,4,160000
송은희플라워,1,100000
숙이네생선구이,2,68000
숙이네조개전골,1,58000
숨은집,7,1007000
스타벅스,2,42800
스타벅스 서울대입구역점,1,36000
시골집,45,9381000
신림점비비큐,1,29500
신림제주흑돼지,1,200000
신바람과일,2,2730000
신부산횟집,4,614000
신사식당,1,43000
신선설농탕,2,48000
신세계페이먼츠,3,728790
신안바다장어,5,408000
신안산낙지철판,1,85000
심가면옥,2,116500
심통난초밥,2,120000
싱싱회수산시장,1,39000
쌈마을,26,4350000
아띠,2,69080
아리차이,10,1605000
아웃백,1,115700
아웃백스테이크,1,78200
안성갈비,1,50000
안씨네쭈꾸미,2,165000
안집,8,705000
알곡찬&김밥,1,64000
압구정화룡짬뽕,1,19500
애슐리서울대입구점,1,99800
양계장집아들,1,83600
양은이동태탕동태찜코다리,2,32000
양지가정식,1,100000
양평서울해장국,2,90000
양평해장국,6,272000
어도원,1,172000
어메칼국수,18,768500
어물전,1,159000
어부사시가,2,143000
어사출또,1,143000
어시장,1,131000
어울더울생고기,2,731000
어회가,1,229000
얼큰수제비,8,149500
얼큰수제비 해물칼국수,4,231000
얼큰수제비해물칼국수,6,234000
엉뚱한생고기,1,117000
에스엠씨,2,105000
엔조 파스타&피자,1,59300
엔조파스타&피자,1,40000
여의도수제비,2,180000
연소바,2,58000
연이네닭도리탕,1,29000
영광수산장어1번가,1,70000
영광수산장어１번가,1,105000
영덕물회막회,5,711000
영암팥칼국수,1,16000
옛골맛족발,1,65000
옛골보리밥쭈꾸미,1,49000
옛날농장,2,215000
옛날육개장,26,2664000
옛날집,2,375000
옛터,1,273000
오뚜기식당,1,24000
오리오리,31,2076000
오븐마루,1,32900
오븐에빠진닭,2,150700
오삼,2,169000
오성손만두,2,80000
오장면옥,2,81000
오페라빈,1,11500
옥돌집,1,45000
옥천골,40,6801000
옥천민물매운탕,2,150000
온돌,3,321000
올림반찬,3,333000
옷살,1,45200
와사비,3,530000
완산정,5,235500
왕세숫대야냉면,2,45000
왕십리곱창,1,300000
외래향,5,416000
용국이네숯불갈비,1,81000
용궁,4,208500
우리가참김치,6,744000
우리동네고기집,22,7319900
우리설렁탕,1,45000
우리식당,1,83000
우리집한식부페,3,320000
우리참순대,7,326000
우리축산정육점식당,2,252000
우림식당,1,110000
우성각,5,790000
우아한형제들,1,16800
우장군곱창,1,50000
우정회관,1,79000
우쥬커피,4,137900
울엄마밥상,1,50000
원조정가네매운갈비찜,1,28000
원주추어탕,2,63000
원할머니보쌈,1,470000
위메프,2,195800
유가네닭갈비,2,127500
유명한회집,1,44000
유진참치 서울대점,1,92000
유창숯불갈비,3,500000
유천칡냉면,5,338000
윤씨네집,1,78000
은성숯불갈비,19,1867100
은천길입구 파리바게뜨,2,79250
은천식당,3,300000
이가네감자탕,3,622000
이가네바지락칼국수,3,72000
이금옥샤브샤브칼국수,11,1158000
이대감명품막창,1,41000
이대감왕족발,1,106000
이마트24 봉천태양점,1,20000
이모네전칼국수,1,12000
이태리부대찌개,1,43000
인생극장,1,29000
일구칠구매운탕,5,487000
일로까페,2,24000
일송정,1,225000
일커피,5,83000
일커피 서울대입구점,2,47100
일커피　서울대입구점,2,39900
자바인,3,79000
자연별곡,6,489000
자연별곡 서울대입구점,1,194600
자연별곡서울대입구점,2,178800
자연생고기,1,134000
작은따옴표 협동조합,1,430000
작은따옴표협동조합,3,500000
장가네멸치쌈밥,1,52000
장군집,7,263000
장보고마트,25,6522210
장수삼계탕,6,180000
장수생삼겹살,2,290000
장수집,1,28000
장수촌,3,390000
장수촌풍천장어,1,86000
장충동영양족발,2,64000
장터생고기,2,144000
장터순대국,5,743000
쟝블랑제리,13,644550
전남건강원,1,250000
전라상회,1,130000
전설의옛날통닭,3,389000
전주민속촌,1,56000
전주전집,1,52000
전주집,1,20000
전주콩나물국밥,1,200000
전진식당,10,314000
정가,11,2617000
정가네,1,10000
정가네감자탕＆부대찌,1,47000
정가네왕갈비탕,2,99000
정관장,1,147000
정담,2,199000
정담은보쌈,6,993500
정수사,1,165000
정육점식당,6,279000
정희네,2,135000
제주올레,1,48000
제주은갈치,93,11714000
조춘식동갑이네,1,43000
족팔려,1,55000
종가집,1,210000
종가할머니보쌈,1,113000
종로계림닭도리탕,1,46000
종로계림닭도리탕원조,1,24000
종로빈대떡,3,316000
종손집,1,40000
죠아찌쥬스,1,42500
중국성,1,102000
쥬스를만드는지금,1,18500
즉석빵집,1,13600
지리산삼계탕,1,100000
진갈비,1,86000
진미별미순대국,1,24000
진부령　황태촌,1,73000
진부령황태촌,1,14000
진우리독도참치,3,281000
진우리참치,3,582000
진진식품,2,572000
짜장마을,2,104000
쭉심,2,231500
차이나영,3,147500
참이맛감자탕,2,83000
청능장,19,1009000
청주블루가든,1,103500
청호,1,40000
초대,4,622000
촌장골,1,130000
최상의우동,1,60000
추어탕전문점대령숙수,5,504000
춘천골숯불닭갈비,1,141000
취홍,1,259000
치킨더샵,1,27900
칠분도스시,1,32800
카레마치,1,30000
카모메,10,681400
카페덴,1,8400
카페드구띠에,1,7600
카페딜,1,54300
카페모아,10,296900
카페모아관악구청점,4,156000
카페미뇽,1,19100
카페베네,1,83300
카페산다,2,34500
카페１번가,1,19900
칼국수한마당,1,25000
커피나무,2,25600
커피더알,2,12500
커피볶는정,1,39000
커피빈,1,20700
커피빈코리아,2,42000
커피빈코리아인,1,15900
컴포즈커피,9,147900
코코미,9,798000
콩심,19,468000
콩심 서울대점,1,26000
콩심서울대점,2,46000
쿠우쿠우,7,663300
쿠팡,17,4728660
쿠팡㈜,1,91750
크린에이드,1,25000
큰손숯불갈비,2,329200
키다리식품,1,31000
키친라밥,1,38000
킴스해물로스,1,200000
탄탄꼬기,2,166200
탐나종합어시장,1,58000
탐앤탐스,1,58700
태능솔밭갈비,2,58000
태양수산,2,159000
태창약국,8,485700
태창온누리약국,1,17000
태평양출장부페,1,1800000
태평양킹참치,2,266000
테라스,1,11800
텐동요츠야,2,240000
토방집등심생고기,1,181000
토토김밥,1,44500
통큰대박집,13,2985000
통통갈비집,1,24000
투썸서울대입구역,2,28420
투썸플레이스,2,28370
트레블앤쿡,1,67900
티라노,9,310000
파리바게뜨,13,459950
파리바게뜨서울대입구,1,50100
파리바게트,13,401550
페리카나,10,1359000
포몬스,1,39000
포천이동갈비촌,1,65000
푸른제주,1,200000
풍년갈비,1,100000
풍년식당,1,56000
풍년오리,4,468000
풍년옥,4,540000
풍년집,4,122000
풍성구이,1,100000
풍천장어,6,760000
피자헛,1,229740
하노이별,3,66000
하우림,3,136000
하이보,23,4470000
한고을해물칼국수,1,258500
한근한방삼계탕,10,627000
한류관,1,105000
한우리축산물,1,390000
한우마당,2,141500
할매보쌈,5,408000
함흥냉면,1,18000
해물나라,17,1892000
해태식당,2,225000
행복포차,1,23000
행운포차,2,88000
행초,1,140000
혜원약국,1,125000
홍매,3,246000
홍반장,1,30500
홍콩반점,7,278500
화로구이,1,234240
황복,6,390000
황제갈비,3,501000
황족,1,60000
황태한마당,1,34000
황토방,1,70000
회산한우,1,36000
회포차,1,41000
효소원,1,56000
후포리,4,535000
훈이네해장국,2,160000
훌랄라치킨,1,54500
흑다우,1,137500
흑룡강성,1,52500
흥부보쌈,8,1167000
희로애락,2,508000
희전명가,1,88000
히포커피,1,10800
Ｇ마켓,1,76000
